sim,snap,redshift,subhalo_id,g1,g2,inclination,theta_int
TNG50-1,40,1.5,-1,0.01523585,0.01687873,1.28092483,0.78534645
TNG50-1,40,1.5,-1,-0.05199921,0.07037409,0.64478931,-0.4822569
TNG50-1,40,1.5,-1,0.03752256,0.00452925,1.23392883,-1.18164795
TNG50-1,40,1.5,-1,0.04702824,0.03219694,0.43308672,-1.44215766
TNG50-1,40,1.5,-1,-0.09755176,-0.10250861,0.79314143,0.87129913
TNG50-1,40,1.5,-1,-0.06510898,-0.00243592,1.37019102,-0.03235922
TNG50-1,40,1.5,-1,0.00639202,-0.04216151,1.39553461,1.52536943
TNG50-1,40,1.5,-1,-0.01581213,-0.06094065,1.3573644,-0.11003913
TNG50-1,40,1.5,-1,-0.00084006,-0.04390762,0.84887651,1.50142047
TNG50-1,40,1.5,-1,-0.0426522,-0.01670617,0.61069949,-0.27779218
TNG50-1,40,1.5,-1,0.0439699,0.04579513,1.19907617,0.92262969
TNG50-1,40,1.5,-1,0.0388896,-0.06631964,0.53929143,-1.30432872
TNG50-1,40,1.5,-1,0.00330153,0.00153157,1.35274172,0.1742381
TNG50-1,40,1.5,-1,0.05636206,-0.02420847,0.61143082,0.94894881
TNG50-1,40,1.5,-1,0.02337547,-0.01638365,0.39868136,1.33423964
TNG50-1,40,1.5,-1,-0.04296462,0.05013789,0.65104372,1.01342467
TNG50-1,40,1.5,-1,0.01843754,0.02690577,0.74437071,-1.45464936
TNG50-1,40,1.5,-1,-0.04794413,0.06686991,0.55705752,-0.39991739
TNG50-1,40,1.5,-1,0.04392252,-0.00772528,1.36689263,-1.41780556
TNG50-1,40,1.5,-1,-0.0024963,-0.03479713,1.23085612,-1.22747588
TNG50-1,40,1.5,-1,-0.00924312,-0.01119294,1.2961903,0.55073888
TNG50-1,40,1.5,-1,-0.03404648,0.01212484,0.95367801,0.66997038
TNG50-1,40,1.5,-1,0.06112707,0.00882867,0.68622471,0.85991889
TNG50-1,40,1.5,-1,-0.00772647,-0.0542194,0.82257072,1.14811561
TNG50-1,40,1.5,-1,-0.02141639,0.00452449,0.53656834,0.75219614
TNG50-1,40,1.5,-1,-0.01760668,0.01141142,1.27060278,0.94521598
TNG50-1,40,1.5,-1,0.02661546,0.1258737,0.69962568,-1.4169723
TNG50-1,40,1.5,-1,0.0182722,0.09384223,1.23835681,-0.83398242
TNG50-1,40,1.5,-1,0.02063663,-0.04266217,1.17091541,0.38295315
TNG50-1,40,1.5,-1,0.02154105,-0.01436917,0.73017073,1.12508383
TNG50-1,40,1.5,-1,0.10708238,-0.0731721,0.26902506,-1.55665877
TNG50-1,40,1.5,-1,-0.02032075,-0.02953535,0.8427959,0.04595943
TNG50-1,40,1.5,-1,-0.02561214,0.01578025,1.35500771,0.55696479
TNG50-1,40,1.5,-1,-0.04068864,0.06029268,0.83761259,-1.47778228
TNG50-1,40,1.5,-1,0.03079897,-0.03645419,1.36507299,-0.30990066
TNG50-1,40,1.5,-1,0.05644861,-0.03270732,0.48169036,1.24292364
TNG50-1,40,1.5,-1,-0.00569737,-0.10736445,0.73056709,0.53913754
TNG50-1,40,1.5,-1,-0.04200782,-0.0081333,1.25537408,-0.82417056
TNG50-1,40,1.5,-1,-0.04122406,-0.05312072,1.32402922,1.10829461
TNG50-1,40,1.5,-1,0.03252964,-0.02647197,1.24649426,-0.47742336
TNG50-1,40,1.5,-1,0.03716271,-0.04384304,0.26956585,1.11006502
TNG50-1,40,1.5,-1,0.02715771,-0.00471313,0.99863922,-0.63163715
TNG50-1,40,1.5,-1,-0.03327549,-0.08788642,0.63486684,0.28374944
TNG50-1,40,1.5,-1,0.01160807,-0.07335226,0.81547701,-0.32377233
TNG50-1,40,1.5,-1,0.00583429,0.10646236,0.88449698,-0.70740797
TNG50-1,40,1.5,-1,0.01093443,-0.06437113,1.279142,1.2144064
TNG50-1,40,1.5,-1,0.04357144,-0.05483928,0.35873695,-0.98145339
TNG50-1,40,1.5,-1,0.01117978,0.09184568,1.14385938,-1.30435285
TNG50-1,40,1.5,-1,0.03394568,0.14525336,0.87861428,-0.49660117
TNG50-1,40,1.5,-1,0.00337895,-0.05857833,0.7423895,0.68373355
TNG50-1,40,1.5,-1,0.01445597,-0.01841245,0.80110925,0.96582487
TNG50-1,40,1.5,-1,0.03156441,0.01707778,0.37106377,1.56684851
TNG50-1,40,1.5,-1,-0.07285779,0.08643488,1.27634223,-0.63974747
TNG50-1,40,1.5,-1,-0.01598356,-0.04934285,0.94987666,-0.28920889
TNG50-1,40,1.5,-1,-0.02351863,-0.01226389,1.05034106,-1.1409596
TNG50-1,40,1.5,-1,-0.03194389,0.03886688,0.98352575,0.2352171
TNG50-1,40,1.5,-1,-0.01375711,0.0217383,1.30098957,1.56319379
TNG50-1,40,1.5,-1,0.07474707,-0.0188078,1.28846325,0.63108631
TNG50-1,40,1.5,-1,-0.04329156,-0.00669115,1.16447159,0.29911996
TNG50-1,40,1.5,-1,0.04841392,-0.06874479,1.14086523,-0.33813247
TNG50-1,40,1.5,-1,-0.08414349,-0.01190869,1.02790787,1.30469953
TNG50-1,40,1.5,-1,-0.01674425,-0.01331937,0.84339917,-0.0096868
TNG50-1,40,1.5,-1,0.00813765,0.01160849,0.8174549,-1.14867022
TNG50-1,40,1.5,-1,0.02931112,-0.02776636,1.04306465,-0.42292603
TNG50-1,40,1.5,-1,0.03556133,0.02357693,1.04590137,-1.35978601
TNG50-1,40,1.5,-1,0.03966736,0.05063579,1.21720638,-0.93626047
TNG50-1,40,1.5,-1,-0.01743625,0.00777147,0.86773814,-1.51528821
TNG50-1,40,1.5,-1,-0.02311759,0.01758782,1.12984299,-0.14677547
TNG50-1,40,1.5,-1,0.04289879,0.00265777,1.37027607,0.42267071
TNG50-1,40,1.5,-1,-0.00956522,4.22e-06,1.03687501,-0.49231125
TNG50-1,40,1.5,-1,-0.06378432,-0.0360779,0.98356084,-0.25012804
TNG50-1,40,1.5,-1,-0.05666436,0.01582471,1.2103202,1.44264848
TNG50-1,40,1.5,-1,-0.04597261,-0.00486433,0.88445009,0.79156549
TNG50-1,40,1.5,-1,0.02485804,0.10465842,0.89143197,0.12835491
TNG50-1,40,1.5,-1,0.00712129,0.07866775,0.73971795,-0.6768848
TNG50-1,40,1.5,-1,0.03452427,0.01929233,0.80255743,1.24720223
TNG50-1,40,1.5,-1,-0.02136263,-0.03815286,0.79749319,-0.83221695
TNG50-1,40,1.5,-1,0.00792698,-0.05562057,1.13058346,-0.54870199
TNG50-1,40,1.5,-1,0.03127952,0.05955715,0.63027487,1.28511502
TNG50-1,40,1.5,-1,-0.01546733,0.01313746,0.90862759,0.0928091
TNG50-1,40,1.5,-1,0.02283876,0.02400717,1.02457888,0.76126429
TNG50-1,40,1.5,-1,-0.0330963,-0.0872293,0.82698235,0.28508318
TNG50-1,40,1.5,-1,-0.01815269,0.04637192,1.09039462,0.48204349
TNG50-1,40,1.5,-1,-0.01908689,0.02272102,0.94550079,-0.63025598
TNG50-1,40,1.5,-1,-0.05979198,-0.05552153,0.69699905,-0.81250363
TNG50-1,40,1.5,-1,0.02434862,-0.02357624,0.47772838,-0.55765674
TNG50-1,40,1.5,-1,-0.02347012,0.01318586,0.41251591,-1.08246225
TNG50-1,40,1.5,-1,0.00062471,0.00262334,0.95456979,1.17594326
TNG50-1,40,1.5,-1,0.02403733,-0.01460856,0.93795069,-0.68094984
TNG50-1,40,1.5,-1,0.02232656,-0.00517441,0.61297222,0.19317463
TNG50-1,40,1.5,-1,0.03326926,-0.01259887,1.132162,0.91726471
TNG50-1,40,1.5,-1,-0.00492427,0.00762813,0.55797293,0.89165974
TNG50-1,40,1.5,-1,-0.02116492,0.0735746,0.96396059,-0.19356528
TNG50-1,40,1.5,-1,-0.00398591,-0.12833292,1.30381324,-0.07458986
TNG50-1,40,1.5,-1,-0.08436672,-0.01184251,1.34042175,1.55415138
TNG50-1,40,1.5,-1,-0.07235562,0.00882562,0.55087782,0.54851415
TNG50-1,40,1.5,-1,-0.06613498,0.0147997,1.35412223,0.98846582
TNG50-1,40,1.5,-1,-0.04986234,-0.01859573,1.1622341,1.26466059
TNG50-1,40,1.5,-1,0.01998871,-0.08783609,1.11447848,0.90349012
TNG50-1,40,1.5,-1,-0.04527395,0.01639977,1.25548776,-0.98903826
TNG50-1,40,1.5,-1,-0.01890813,0.08636751,1.13266064,0.19531512
TNG50-1,40,1.5,-1,0.06496141,-0.07669307,0.68940916,-1.25068639
TNG50-1,40,1.5,-1,-0.0178132,0.0431914,1.38791693,0.48041903
TNG50-1,40,1.5,-1,0.03687578,-0.01642626,0.57340276,1.43052242
TNG50-1,40,1.5,-1,-0.04668088,-0.00306622,0.52792099,0.03999896
TNG50-1,40,1.5,-1,-0.01027188,-0.05264493,1.07976452,-0.21057312
TNG50-1,40,1.5,-1,-0.0475011,-0.01672281,1.27195942,-1.458193
TNG50-1,40,1.5,-1,-0.01695165,0.06500223,0.85435162,1.44442426
TNG50-1,40,1.5,-1,0.04201541,0.02913276,1.30060709,-1.24720385
TNG50-1,40,1.5,-1,-0.08636602,0.08661558,1.0864973,-1.44174255
TNG50-1,40,1.5,-1,0.02172118,0.05887059,0.32892519,-0.79775527
TNG50-1,40,1.5,-1,0.01188678,0.02195433,0.21772058,-1.3649264
TNG50-1,40,1.5,-1,-0.0297075,0.08719673,0.65104841,-0.14100146
TNG50-1,40,1.5,-1,-0.07230289,0.02194966,1.13528188,0.05054132
TNG50-1,40,1.5,-1,0.00360648,0.04139941,0.75678927,-0.58882887
TNG50-1,40,1.5,-1,-0.02647464,-0.01482855,0.73561762,-1.41069925
TNG50-1,40,1.5,-1,0.01163381,0.00332729,1.06539632,-1.22019343
TNG50-1,40,1.5,-1,0.00109261,-0.03487119,0.81048004,-0.3628402
TNG50-1,40,1.5,-1,0.08008894,0.0494792,1.39117439,-1.38064059
TNG50-1,40,1.5,-1,-0.01196778,-0.05891518,1.22459749,0.62263139
TNG50-1,40,1.5,-1,-0.05117487,0.03911752,0.93310649,-0.92042211
TNG50-1,40,1.5,-1,0.00896378,-0.00953255,1.2633539,-0.62181051
TNG50-1,40,1.5,-1,0.01099983,0.05856235,1.26152123,-0.33261368
TNG50-1,40,1.5,-1,0.06795938,0.03754345,0.55962023,-0.26197856
TNG50-1,40,1.5,-1,0.04175556,0.09103231,0.24031425,-1.56557906
TNG50-1,40,1.5,-1,0.01784355,0.03653873,0.90159769,-1.21871687
TNG50-1,40,1.5,-1,0.07316514,-0.07860201,0.55538585,1.13965849
TNG50-1,40,1.5,-1,-0.05943815,-0.00334766,0.23623447,-1.56692255
TNG50-1,40,1.5,-1,-0.03198758,-0.05860036,1.2821301,0.02565851
TNG50-1,40,1.5,-1,-0.0463288,-0.02591399,1.00854694,-0.03298042
TNG50-1,40,1.5,-1,-0.01949049,0.07556142,1.06101077,-0.52435016
TNG50-1,40,1.5,-1,-0.06883431,0.03187669,1.33376806,-0.21574253
TNG50-1,40,1.5,-1,0.03175755,-0.03494652,0.67315318,0.88147164
TNG50-1,40,1.5,-1,-0.01111113,-0.05068587,1.02233918,1.07192306
TNG50-1,40,1.5,-1,-0.07354031,0.0016391,0.98823017,-0.75288726
TNG50-1,40,1.5,-1,-0.05077895,-0.06082801,1.27445054,-0.55766273
TNG50-1,40,1.5,-1,0.01567569,-0.03355701,1.24872114,-0.80901398
