sim,snap,redshift,subhalo_id,g1,g2,inclination,theta_int,draw_idx
TNG50-1,40,1.5,15216,0.01523585,0.01445597,1.17521114,-1.13019082,0
TNG50-1,40,1.5,15216,-0.05199921,0.03156441,0.30081144,0.16975955,1
TNG50-1,40,1.5,15216,0.03752256,-0.07285779,0.6421118,-1.22969558,2
TNG50-1,40,1.5,15216,0.04702824,-0.01598356,0.72164582,0.54110821,3
TNG50-1,40,1.5,15216,-0.09755176,-0.02351863,1.00747811,-0.68727434,4
TNG50-1,40,1.5,15216,-0.06510898,-0.03194389,1.16961094,0.50084098,5
TNG50-1,40,1.5,15216,0.00639202,-0.01375711,1.32012598,0.71312461,6
TNG50-1,40,1.5,15216,-0.01581213,0.07474707,0.44834708,0.84398099,7
TNG50-1,40,1.5,15216,-0.00084006,-0.04329156,1.00131981,-1.23231816,8
TNG50-1,40,1.5,15216,-0.0426522,0.04841392,1.23035663,1.30693976,9
TNG50-1,40,1.5,15216,0.0439699,-0.08414349,1.13974914,-0.84755774,10
TNG50-1,40,1.5,15216,0.0388896,-0.01674425,0.87734841,-1.45326132,11
TNG50-1,40,1.5,15216,0.00330153,0.00813765,1.25226651,0.17232411,12
TNG50-1,40,1.5,15216,0.05636206,0.02931112,0.52781442,-0.4055096,13
TNG50-1,40,1.5,15216,0.02337547,0.03556133,0.66899819,1.03606503,14
TNG50-1,40,1.5,15216,-0.04296462,0.03966736,0.71848524,0.96840056,15
TNG50-1,40,1.5,15216,0.01843754,-0.01743625,1.02393897,-0.57447511,16
TNG50-1,40,1.5,15216,-0.04794413,-0.02311759,0.82555433,1.42282541,17
TNG50-1,40,1.5,15216,0.04392252,0.04289879,0.87219855,-0.65685098,18
TNG50-1,40,1.5,15216,-0.0024963,-0.00956522,0.80041701,0.04730337,19
TNG50-1,40,1.5,15216,-0.00924312,-0.06378432,1.3301036,-0.76665828,20
TNG50-1,40,1.5,15216,-0.03404648,-0.05666436,1.03931314,1.36987128,21
TNG50-1,40,1.5,15216,0.06112707,-0.04597261,1.36568234,-1.05366562,22
TNG50-1,40,1.5,15216,-0.00772647,0.02485804,0.96410933,-1.42970545,23
TNG50-1,40,1.5,15216,-0.02141639,0.00712129,1.1183272,-0.2038986,24
TNG50-1,40,1.5,15216,-0.01760668,0.03452427,1.27965458,1.54684345,25
TNG50-1,40,1.5,15216,0.02661546,-0.02136263,1.31425786,1.23049042,26
TNG50-1,40,1.5,15216,0.0182722,0.00792698,0.86844057,0.78102513,27
TNG50-1,40,1.5,15216,0.02063663,0.03127952,1.25753339,1.22771082,28
TNG50-1,40,1.5,15216,0.02154105,-0.01546733,0.40422769,1.23604907,29
TNG50-1,40,1.5,15216,0.10708238,0.02283876,0.87540696,0.05924529,30
TNG50-1,40,1.5,15216,-0.02032075,-0.0330963,1.10294878,-0.57827594,31
TNG50-1,40,1.5,15216,-0.02561214,-0.01815269,0.86496409,0.85455226,32
TNG50-1,40,1.5,15216,-0.04068864,-0.01908689,1.38122232,0.50787384,33
TNG50-1,40,1.5,15216,0.03079897,-0.05979198,0.32859894,-0.39691595,34
TNG50-1,40,1.5,15216,0.05644861,0.02434862,0.97558846,-1.27402054,35
TNG50-1,40,1.5,15216,-0.00569737,-0.02347012,0.63670273,0.77531243,36
TNG50-1,40,1.5,15216,-0.04200782,0.00062471,1.33153334,-0.7462523,37
TNG50-1,40,1.5,15216,-0.04122406,0.02403733,0.97132171,1.37228898,38
TNG50-1,40,1.5,15216,0.03252964,0.02232656,0.96734379,-0.81376494,39
TNG50-1,40,1.5,15216,0.03716271,0.03326926,0.37719931,-1.18514091,40
TNG50-1,40,1.5,15216,0.02715771,-0.00492427,0.8852142,1.04022114,41
TNG50-1,40,1.5,15216,-0.03327549,-0.02116492,0.98418669,-1.08923944,42
TNG50-1,40,1.5,15216,0.01160807,-0.00398591,1.17424025,-1.00760833,43
