sim,snap,redshift,subhalo_id,g1,g2,inclination,theta_int
TNG50-1,50,1.0,70415,0.00221062,-0.07021345,0.46323777,-0.13696132
TNG50-1,50,1.0,79612,-0.0101457,0.01655201,0.80442316,-0.35706884
TNG50-1,50,1.0,126646,-0.05412136,-0.01513099,1.25636879,-0.43479947
TNG50-1,50,1.0,1,-0.00755259,-0.02413951,0.47087984,-0.34084131
TNG50-1,50,1.0,106001,-0.03730491,0.04352778,0.98761983,-1.28882822
TNG50-1,50,1.0,144904,-0.06251578,0.07396373,0.9816532,-1.32752369
TNG50-1,50,1.0,25240,0.02556109,0.0897185,0.38219255,0.87923705
TNG50-1,50,1.0,114772,0.01956323,0.06574039,1.35087046,-0.169417
TNG50-1,50,1.0,133837,-0.08933538,-0.00548671,1.2193214,1.35303523
TNG50-1,50,1.0,94859,-0.00613423,0.01763601,0.87042694,0.3525527
TNG50-1,50,1.0,118813,0.04978507,0.03834114,1.23626062,-1.46028772
TNG50-1,50,1.0,2,0.05296119,0.0060589,0.76634306,-1.07592215
TNG50-1,50,1.0,141965,0.05129184,0.00653821,1.22025828,-0.92419438
TNG50-1,50,1.0,110862,0.00194566,0.04118766,1.31781226,1.4945688
TNG50-1,50,1.0,146546,-0.04225227,-0.00296413,1.22638174,-0.88371674
TNG50-1,50,1.0,167854,-0.05418494,-0.03646435,1.03279144,0.04949792
TNG50-1,50,1.0,153494,0.01723025,-0.02072365,1.25280768,1.37029024
TNG50-1,50,1.0,101009,0.018964,0.03169552,1.2879593,1.49914517
TNG50-1,50,1.0,123137,0.06436656,0.00014966,0.52188501,-0.82824812
TNG50-1,50,1.0,183225,0.05499898,0.0170105,1.12683433,-1.4164887
TNG50-1,50,1.0,186226,-0.00661143,0.03350396,1.09030204,-1.08824194
TNG50-1,50,1.0,178021,-0.06221029,-0.01874207,1.354369,-1.37184404
TNG50-1,50,1.0,189955,-0.01595533,0.03781241,1.0933956,-0.95779544
TNG50-1,50,1.0,158267,0.01086156,0.01894213,1.17614397,0.21541811
TNG50-1,50,1.0,179342,-0.01010416,-0.06174065,0.84394403,1.29574611
TNG50-1,50,1.0,151037,-0.02889471,0.07211524,1.22775401,0.11692657
TNG50-1,50,1.0,138975,0.01264424,-0.02503724,0.47425872,0.39580787
TNG50-1,50,1.0,181044,-0.02519789,-0.08275477,0.3947583,-0.93661165
TNG50-1,50,1.0,94860,-0.0314033,-0.05225219,1.31724819,0.94431129
TNG50-1,50,1.0,209967,0.01557264,-0.05105226,1.31090636,0.37004477
TNG50-1,50,1.0,171738,-0.02009963,0.00260867,1.30425858,1.14396959
TNG50-1,50,1.0,160370,0.01220522,-0.01369253,0.83405238,1.41008221
TNG50-1,50,1.0,135871,0.0136602,-0.0168416,1.29867622,-0.47783381
